"Excluded","Level","Term","est","se","ci.lb","ci.ub","QE","QM"
"10.1016/j.ecolind.2018.11.011","study","dt",-7.75156852677941,1.21084502569954,-10.1248247771505,-5.37831227640832,13730.2863744025,102.768243782575
"10.1016/j.ecolind.2018.11.011","study","dph",66.4452888206194,9.13312623948437,48.54436139123,84.3462162500087,13730.2863744025,102.768243782575
"10.1016/j.ecolind.2018.11.011","study","dt:dph",-5.36524702786189,3.66347989351336,-12.5456676191481,1.81517356342431,13730.2863744025,102.768243782575
"10.1016/j.ecss.2009.03.038","study","intrcpt",-3.95816906042291,4.01957867031821,-11.8365432542466,3.92020513340078,13848.3759494274,103.327743190503
"10.1016/j.ecss.2009.03.038","study","dt",-7.83535073631827,1.20543861107017,-10.1980104140158,-5.47269105862073,13848.3759494274,103.327743190503
"10.1016/j.ecss.2009.03.038","study","dph",66.4700927789972,9.12727950617229,48.5806249468995,84.3595606110948,13848.3759494274,103.327743190503
"10.1016/j.ecss.2009.03.038","study","dt:dph",-5.47355009740859,3.65832333627358,-12.6438638365048,1.69676364168763,13848.3759494274,103.327743190503
"10.1016/j.envpol.2020.115344","study","intrcpt",-3.85554089146599,4.015171802053,-11.7252776234899,4.0141958405579,13845.6088715227,103.327834159541
"10.1016/j.envpol.2020.115344","study","dt",-7.840135166129,1.20476259063866,-10.2014698437808,-5.47880048847724,13845.6088715227,103.327834159541
"10.1016/j.envpol.2020.115344","study","dph",66.3302881152884,9.12553293085749,48.4442435708077,84.216332659769,13845.6088715227,103.327834159541
"10.1016/j.envpol.2020.115344","study","dt:dph",-5.43878511548281,3.65740559168822,-12.6073000751917,1.7297298442261,13845.6088715227,103.327834159541
"10.1016/j.gca.2010.05.023","study","intrcpt",-3.85811449978921,4.03429570251529,-11.7653340767192,4.04910507714075,13794.9855908664,102.823712899303
"10.1016/j.gca.2010.05.023","study","dt",-7.87491154666134,1.21064958649601,-10.2477847361935,-5.50203835712916,13794.9855908664,102.823712899303
"10.1016/j.gca.2010.05.023","study","dph",67.0802376501175,9.26722882534659,48.9164691524382,85.2440061477968,13794.9855908664,102.823712899303
"10.1016/j.gca.2010.05.023","study","dt:dph",-5.64069358508958,3.68695089310685,-12.867117335579,1.58573016539984,13794.9855908664,102.823712899303
