modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,,,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al. 2014 L & Oe,8,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,550,150,7.95,7.95,-0.11,2320,2047,700,27,36.1,14,24,0.16,0.02,,,-0.223143551,0.001588542,0.025495098,1.568929081,-1.568929081
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al. 2014 L & Oe,8,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,1000,600,7.71,7.71,-0.35,2320,2169,700,27,36.1,14,24,0.13,0.06,,,-0.430782916,0.00981324,0.047434165,1.475729575,-1.475729575
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Comeau et al. 2014 L & Oe,8,2014,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,2100,1700,7.44,7.44,-0.62,2320,2280,700,27,36.1,14,24,0.04,0.02,,,-1.609437912,0.011354167,0.025495098,6.275716324,-6.275716324
;Comeau et al. 2014 L & Ob,8,2014,Lithophyllum flavescens,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,280,-120,8.18,8.18,0.12,2320,1895,700,27,36.1,14,24,0.58,0.08,,,0.033901552,0.001533448,0.10198039,3.137858162,-3.137858162
;Comeau et al. 2014 L & Ob,8,2014,Lithophyllum flavescens,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,550,150,7.95,7.95,-0.11,2320,2047,700,27,36.1,14,24,0.64,0.1,,,-0.340926587,0.001757993,0.11045361,2.353929397,-2.353929397
;Comeau et al. 2014 L & Ob,8,2014,Lithophyllum flavescens,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,1000,600,7.71,7.71,-0.35,2320,2169,700,27,36.1,14,24,0.7,0.11,,,-0.251314428,0.001769652,0.115108644,1.737488971,-1.737488971
;Comeau et al. 2014 L & Ob,8,2014,Lithophyllum flavescens,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,750,350,7.84,7.84,-0.22,2320,2105,700,27,36.1,14,24,0.82,0.13,,,-0.093090423,0.001787984,0.12509996,0.639488614,-0.639488614
;Comeau et al. 2014 L & Ob,8,2014,Lithophyllum flavescens,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,2100,1700,7.44,7.44,-0.62,2320,2280,700,27,36.1,14,24,0.43,0.07,,,-0.738609555,0.001844941,0.098234414,4.784474026,-4.784474026
;Comeau et al. 2014 L & Oc,8,2014,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,750,350,7.84,7.84,-0.22,2320,2105,700,27,36.1,14,24,0.45,0.04,,,0.16907633,0.001743115,0.057008771,-1.227881227,1.227881227
;Comeau et al. 2014 L & Oc,8,2014,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,550,150,7.95,7.95,-0.11,2320,2047,700,27,36.1,14,24,0.33,0.05,,,-0.141078598,0.002370432,0.060827625,0.821994937,-0.821994937
;Comeau et al. 2014 L & Oc,8,2014,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,280,-120,8.18,8.18,0.12,2320,1895,700,27,36.1,14,24,0.38,0.06,,,0.123613956,0.002452678,0.065192024,0,0
;Comeau et al. 2014 L & Oc,8,2014,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,1000,600,7.71,7.71,-0.35,2320,2169,700,27,36.1,14,24,0.25,0.04,,,-0.418710335,0.002480563,0.057008771,2.28035085,-2.28035085
;Comeau et al. 2014 L & Oc,8,2014,Lithophyllum kotschyanum,Lithophylloideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,2100,1700,7.44,7.44,-0.62,2320,2280,700,27,36.1,14,24,0.22,0.04,,,-0.546543706,0.002791307,0.057008771,2.806585662,-2.806585662
;Comeau et al. 2014 L & Od,8,2014,Neogoniolithon frutescens,Neogoniolithoideae,Corallinaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,550,150,7.95,7.95,-0.11,2320,2047,700,27,36.1,14,24,0.11,0.04,,,1.704748092,0.515926309,0.057008771,-1.578704435,1.578704435
;Comeau et al. 2014 L & Od,8,2014,Neogoniolithon frutescens,Neogoniolithoideae,Corallinaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,2100,1700,7.44,7.44,-0.62,2320,2280,700,27,36.1,14,24,-0.15,0.08,,,#NUM!,0.522268519,0.075166482,2.261646358,-2.261646358
;Comeau et al. 2014 L & Od,8,2014,Neogoniolithon frutescens,Neogoniolithoideae,Corallinaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,280,-120,8.18,8.18,0.12,2320,1895,700,27,36.1,14,24,-0.04,0.07,,,#NUM!,0.638020833,0.07,0.857142857,-0.857142857
;Comeau et al. 2014 L & Od,8,2014,Neogoniolithon frutescens,Neogoniolithoideae,Corallinaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,750,350,7.84,7.84,-0.22,2320,2105,700,27,36.1,14,24,0.03,0.06,,,0.405465108,0.677083333,0.065192024,-0.153392998,0.153392998
;Comeau et al. 2014 L & Od,8,2014,Neogoniolithon frutescens,Neogoniolithoideae,Corallinaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,1000,600,7.71,7.71,-0.35,2320,2169,700,27,36.1,14,24,-0.02,0.05,,,#NUM!,0.770833333,0.060827625,0.657595949,-0.657595949
;Comeau et al. 2014 L & Oa,8,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,280,-120,8.18,8.18,0.12,2320,1895,700,27,36.1,14,24,0.94,0.09,,,-1.498772345,0.001248732,0.123693169,0.808452083,-0.808452083
;Comeau et al. 2014 L & Oa,8,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,550,150,7.95,7.95,-0.11,2320,2047,700,27,36.1,14,24,0.92,0.14,,,-0.122602322,0.001831642,0.145086181,0.82709462,-0.82709462
;Comeau et al. 2014 L & Oa,8,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,750,350,7.84,7.84,-0.22,2320,2105,700,27,36.1,14,24,0.69,0.11,,,-0.410284395,0.001925723,0.131529464,2.661000724,-2.661000724
;Comeau et al. 2014 L & Oa,8,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,1000,600,7.71,7.71,-0.35,2320,2169,700,27,36.1,14,24,0.77,0.15,,,-0.300585477,0.002447982,0.15,1.8,-1.8
;Comeau et al. 2014 L & Oa,8,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,French polynesia,Pacific,Tropical,Adult,2100,1700,7.44,7.44,-0.62,2320,2280,700,27,36.1,14,24,0.6,0.14,,,-0.550046337,0.00313529,0.145086181,3.032680274,-3.032680274
;Comeau,9,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Japan,Pacific,Tropical,Adult,679,230,7.84,7.84,-0.15,,,700,26.9,35.5,14,12,1,0.1,,,-5.869296913,0.001189987,0.086313383,0.810998225,-0.810998225
;Comeau,9,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Japan,Pacific,Tropical,Adult,921,472,7.73,7.73,-0.26,,,700,26.9,35.5,14,12,1.07,0.13,,,0,0.001586747,0.104403065,0,0
