modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,,,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
Lithothamnion corallioides?? ->>>;Legrand,39,2017,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,426,,8.06,8.06,,2538.05,,95,17.1,35,90,5,0.57195,0.945365207,,,0.287128564,1.528127386,0.94814175,-0.150557657,0.150557657
Lithothamnion corallioides?? ->>>;Legrand,39,2017,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1183,703,7.65,7.65,,2511.5,,35,10,35,90,5,0.2279,0.49409236,,,0.352900135,2.460369172,0.468535342,-0.144635123,0.144635123
Lithothamnion corallioides?? ->>>;Legrand,39,2017,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,879,447,7.73,7.73,,2196.32,,95,20.1,35,90,5,0.344666667,0.988314936,,,1.351323105,10.48430119,0.815078722,-0.313384863,0.313384863
Lithothamnion corallioides?? ->>>;Legrand,39,2017,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1087,574,7.65,7.65,,2277.85,,35,13,35,90,5,0.2635,0.79094685,,,#NUM!,671.3239806,0.650020331,-0.417827957,0.417827957
;McGraw et al,41,2010,Arthocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Adult,777,382,7.76,7.76,-0.217,2276,,30,15.1,35,14,4,0.002587334,0.0025,,,-0.214049498,0.288171811,0.002061553,0.299558234,-0.299558234
;McGraw et al,41,2010,Arthocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Adult,1411,1016,7.52,7.52,-0.457,2276,,30,15.1,35,14,4,-0.001051009,0.0025,,,#NUM!,1.4692789,0.002061553,2.064413593,-2.064413593
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,516.42,151.23,7.95,7.95,-0.14,2335.65,2189.47,15,10,35.1,12,6,4.751666667,0.620206955,,,-0.231317698,0.011964768,1.083529726,1.141331555,-1.141331555
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,755.16,389.97,7.81,7.81,-0.28,2350.56,2261.77,15,10,35.1,12,6,2.976666667,1.427594714,,,-0.699009026,0.047460586,1.414468687,2.129185817,-2.129185817
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,961.17,520.84,7.72,7.72,-0.3,2366.73,2255.95,15,19,35.1,12,6,2.201666667,1.120293116,,,-0.717451985,0.056259208,1.194937934,1.933154797,-1.933154797
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,606.95,228.12,7.89,7.89,-0.18,2321.81,2162.5,15,16,35.1,12,6,5.268333333,2.461425739,,,-0.124474367,0.06795776,2.530178189,0.276001641,-0.276001641
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,829.55,450.72,7.78,7.78,-0.29,2339.5,2228.09,15,16,35.1,12,6,3.123333333,1.593080873,,,-0.647287617,0.074936513,2.154401696,1.319778637,-1.319778637
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,705.05,264.72,7.84,7.84,-0.18,2355.13,2200.04,15,19,35.1,12,6,2.031666667,1.671208146,,,-0.79781016,0.125879357,1.482166208,1.673226651,-1.673226651
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1048.81,669.98,7.68,7.68,-0.39,2347.78,2267.13,15,16,35.1,12,6,1.061666667,1.068707943,,,-1.726348424,0.200461427,1.985840292,2.469987148,-2.469987148
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,547.73,107.4,7.94,7.94,-0.08,2358.43,2158.41,15,19,35.1,12,6,3.318333333,3.673001044,,,-0.307203986,0.217304105,2.746964992,0.434418836,-0.434418836
;Noisette et al. ,44,2013 Jphycol,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1023.5,658.31,7.68,7.68,-0.41,2353.35,2300.56,15,10,35.1,12,6,0.138333333,0.9211605,,,-3.767902179,7.399486791,1.18573887,4.933632649,-4.933632649
;Noisette et al. ,45,2013 JEMBE,Corallina elongata,Corallinoideae,Corallinaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,790,340,7.8,7.8,-0.21,2414.49,,30,15.9,35.2,30,6,0.9675,0.79072841,,,0.139331372,0.183116399,0.682050294,-0.184492749,0.184492749
;Noisette et al. ,45,2013 JEMBE,Corallina elongata,Corallinoideae,Corallinaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,1002,552,7.7,7.7,-0.31,2418.53,,30,15.9,35.2,30,6,0.765,1.362472322,,,-0.095508219,0.600454996,1.039582757,0.073747536,-0.073747536
;Noisette et al. ,45,2013 JEMBE,Corallina elongata,Corallinoideae,Corallinaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,637,187,7.88,7.88,-0.13,2402.07,,30,15.9,35.2,30,6,0.661666667,1.333539002,,,-0.240622149,0.748778254,1.020651767,0.176357898,-0.176357898
;Noisette et al. ,45,2013 JEMBE,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,790,340,7.8,7.8,-0.21,2414.49,,30,15.9,35.2,30,6,-0.129166667,0.050382156,,,#NUM!,3.203489207,0.050664762,2.779709775,-2.779709775
;Noisette et al. ,45,2013 JEMBE,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,1002,552,7.7,7.7,-0.31,2418.53,,30,15.9,35.2,30,6,-0.141666667,0.074899077,,,#NUM!,3.224719175,0.064052113,2.39388409,-2.39388409
;Noisette et al. ,45,2013 JEMBE,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales,Northern france,Atlantic,Cool Temperate,Adult,637,187,7.88,7.88,-0.13,2402.07,,30,15.9,35.2,30,6,-0.033333333,0.044264822,,,#NUM!,3.47203817,0.047722368,0.942954036,-0.942954036
;Noisette et al. ,45,2013 JEMBE,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,637,187,7.88,7.88,-0.13,2402.07,,30,15.9,35.2,30,6,0.258333333,0.066695741,,,-0.214070255,0.058286596,0.129294419,0.476947628,-0.476947628
;Noisette et al. ,45,2013 JEMBE,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,790,340,7.8,7.8,-0.21,2414.49,,30,15.9,35.2,30,6,0.13,0.125054391,,,-0.900786545,0.201404195,0.149372642,1.271986603,-1.271986603
;Noisette et al. ,45,2013 JEMBE,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Northern france,Atlantic,Cool Temperate,Adult,1002,552,7.7,7.7,-0.31,2418.53,,30,15.9,35.2,30,6,0.14,0.23930333,,,-0.826678573,0.534133858,0.207667831,0.866768818,-0.866768818
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,779,304,7.84,7.84,-0.17,2546,2315,35,25,38,30,5,0.54,0.067082039,,,-0.215708573,0.005091321,0.067082039,1.93792558,-1.93792558
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,425,-308,8.06,8.06,0.2,2533,2203,16,20.7,38,150,5,0.18,0.04472136,,,-0.200670695,0.014411795,0.035355339,1.13137085,-1.13137085
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,714,290,7.87,7.87,-0.19,2543,2319,35,22,38,30,5,0.71,0.111803399,,,0.456017387,0.029156864,0.136014705,-1.911558017,1.911558017
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,695,307,7.88,7.88,-0.21,2521,2322,16,17.7,38,150,5,0.14,0.04472136,,,-0.30538165,0.031488496,0.04472136,1.118033989,-1.118033989
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,709,323,7.87,7.87,-0.23,2539,2378,6,13.3,38,240,5,0.05,0.02236068,,,0.223143551,0.1025,0.02236068,-0.447213595,0.447213595
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,426,-337,8.06,8.06,0.21,2540,2254,6,16.3,38,240,5,0.09,0.04472136,,,0.117783036,0.127507716,0.04472136,-0.223606798,0.223606798
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,693,309,7.87,7.87,-0.22,2483,2296,21,17.7,38,365,5,0.06,0.02236068,,,1.098612289,0.277777778,0.02236068,-1.788854382,1.788854382
L cabiochae= currently regarded as L stictiforme;Martin et al,46,2013,Lithophyllum stictiforme,Lithophylloideae,Lithophyllaceae,Corallinales,Med sea,Atlantic,Warm temperate,Adult,738,326,7.85,7.85,-0.21,2487,2289,21,20.7,38,365,4,0.01,0.02236068,,,-0.693147181,1.5,0.02236068,0.447213595,-0.447213595
;McCoy et al,47,2020,Ellisolandia elongata,Corallinoideae,Corallinaceae,Corallinales,UK,Atlantic,Cool Temperate,Adult,1000,600,7.7,7.7,-0.4,2242,,25,13,36,32,6,0.00486413,0.012228261,,,-0.702046065,1.086055176,0.008658431,0.571822684,-0.571822684
;Narvarte et al,48,2019,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Philippines,Pacific,Tropical,Adult,1450,950,7.5,7.5,-0.4,2320,,98,26,35,40,4,4.170984456,1.761658031,,,-1.077691023,0.049174011,1.710629432,4.725103756,-4.725103756
;Narvarte et al,48,2019,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Philippines,Pacific,Tropical,Adult,1450,950,7.5,7.5,-0.4,2320,,98,26,35,40,4,0.022666667,0.019447514,,,-1.548813279,0.193131794,0.019904231,4.220208342,-4.220208342
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Leptophytum;O'Leary et al,49,2017,Leptophytum sp,,Mesophyllumaceae,Hapalidiales,California,Pacific,Cool Temperate,Adult,1176,757,7.5,7.5,-0.5,2246,,14,14,34,120,10,58.80794702,10.86166537,,,-0.069593292,0.004794009,9.298817622,0.455801025,-0.455801025
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Leptophytum;O'Leary et al,49,2017,Lithophyllum sp,Lithophylloideae,Lithophyllaceae,Corallinales,California,Pacific,Cool Temperate,Adult,2013,1594,7.3,7.3,-0.7,2248,,14,14,34,120,10,32.67108168,9.137591505,,,-0.657379957,0.009205038,8.320331191,3.650729189,-3.650729189
;O'Leary et al,49,2017,Lithophyllum sp,Lithophylloideae,Lithophyllaceae,Corallinales,California,Pacific,Cool Temperate,Adult,1176,757,7.5,7.5,-0.5,2246,,14,14,34,120,10,11.65562914,2.241296029,,,-0.537733077,0.006115994,2.70685088,3.066375326,-3.066375326
;O'Leary et al,49,2017,Lithothamnion sp.,Lithothamnioideae,Lithothamniaceae,Hapalidiales,California,Pacific,Cool Temperate,Adult,2013,1594,7.3,7.3,-0.7,2248,,14,14,34,120,10,6.181015453,4.827406833,,,-1.172039757,0.063415287,4.057987938,3.394498615,-3.394498615
;O'Leary et al,49,2017,Lithothamnion sp.,Lithothamnioideae,Lithothamniaceae,Hapalidiales,California,Pacific,Cool Temperate,Adult,2013,1594,7.3,7.3,-0.7,2248,,14,14,34,120,10,18.89624724,3.448147738,,,-0.531177853,0.008166563,5.561307534,2.381640114,-2.381640114
;O'Leary et al,49,2017,Leptophytum sp,,Mesophyllumaceae,Hapalidiales,California,Pacific,Cool Temperate,Adult,1176,757,7.5,7.5,-0.5,2246,,14,14,34,120,10,13.95143488,3.965369898,,,-0.834558834,0.012915224,5.731087095,3.173890951,-3.173890951
;Ragazzola et al,51,2012,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,North Sea,Atlantic,Cool Temperate,Adult,682,193,,7.84,-0.13,,,20,7.6,31.3,90,4,0.85,0.09,,,-0.182321557,0.006863706,0.111803399,1.520526225,-1.520526225
;Ragazzola et al,51,2012,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,North Sea,Atlantic,Cool Temperate,Adult,1164,675,,7.66,-0.31,,,20,7.7,31.6,90,4,0.69,0.14,,,-0.390866309,0.014352894,0.135092561,2.442769594,-2.442769594
;Ragazzola et al,51,2012,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,North Sea,Atlantic,Cool Temperate,Adult,865,376,,7.76,-0.21,,,20,7.7,31.5,90,4,0.791,0.22,,,-0.254259939,0.023399866,0.18069311,1.26734218,-1.26734218
Ragazzola et al,52,2013,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,North Sea,Atlantic,Cool Temperate,Adult,1179,700,,7.66,-0.3,,,20,7.7,31.6,300,4,0.36,0.038,,,-0.949080555,0.003271388,0.039528471,14.41998613,-14.41998613
Ragazzola et al,52,2013,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,North Sea,Atlantic,Cool Temperate,Adult,873,394,,7.74,-0.22,,,20,7.7,31.5,300,4,0.37,0.038,,,-0.921681581,0.003122856,0.039528471,14.16700392,-14.16700392
Ragazzola et al,52,2013,Lithothamnion glaciale,Lithothamnioideae,Lithothamniaceae,Hapalidiales,North Sea,Atlantic,Cool Temperate,Adult,643,164,,7.86,-0.1,,,20,7.6,31.3,300,4,0.36,0.05,,,-0.949080555,0.005308425,0.045721986,12.46665008,-12.46665008
;Ries,54,2009,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Carribean,Atlantic,Tropical,Adult,511,160,7.91,7.91028,-0.13872,1987,,1946,25,31.7,90,11,0.241181818,0.110024377,,,0.926424834,0.043662989,0.086256697,-1.688933427,1.688933427
;Ries,54,2009,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Carribean,Atlantic,Tropical,Adult,764,413,7.77,7.76982,-0.27918,2044,,1946,25.1,31.5,90,10,0.1775,0.078553945,,,0.619844361,0.044329791,0.06491319,-1.26322555,1.26322555
;Ries,54,2009,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Carribean,Atlantic,Tropical,Adult,2505,2154,7.35,7.35046,-0.69854,2354,,1946,24.9,31.8,90,11,0.060727273,0.058758984,,,-0.452733347,0.109855596,0.053722818,0.647261792,-0.647261792
;Semesi et al,57,2009,Hydrolithon sp.,Hydrolithoideae,Lithophyllaceae,Corallinales,Zanzibar,Indian,Tropical,Adult,800,400,,7.8,-0.3,2300,,150,25,34,5,14,0.513333333,0.105084746,,,-0.370219169,0.010483,0.185715075,1.238456275,-1.238456275
;Semesi et al,57,2009,Hydrolithon sp.,Hydrolithoideae,Lithophyllaceae,Corallinales,Zanzibar,Indian,Tropical,Adult,800,400,,7.8,-0.3,2300,,150,25,34,5,14,-0.143333333,0.081355932,,,1.276293464,1.808726373,0.152674143,0.676822749,-0.676822749
;Short et al,58,2014,CCA,,,,Australia,Indian,Warm temperate,Adult,927,600,7.7,7.7,-0.4,2323.5,,250,19.4,35,76,3,-0.356,0.30050624,,,-0.194,0.552439644,0.332054212,2.342990906,-2.342990906
;Short et al,58,2014,CCA,,,,Australia,Indian,Warm temperate,Adult,927,600,7.7,7.7,,2323.5,,250,19.4,35,76,3,-0.032,0.804373048,,,#NUM!,211.1182032,0.657288369,0.626817725,-0.626817725
;Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,550,150,8.1,7.95086,-0.12101,2448.17,2215.27,45,15.92,34.84,330,4,0.9296,0.0422,,,0.317378578,0.000718495,0.032812574,-7.704363622,7.704363622
;Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,550,150,8.1,7.95086,-0.12101,2448.17,2215.27,450,15.92,34.84,330,4,1.166,0.0551,,,0.212798448,0.001313429,0.053475462,-4.179487059,4.179487059
;Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,550,150,8.1,7.95086,-0.12101,2448.17,2215.27,8,15.92,34.84,330,4,0.3466,0.0324,,,-0.414655293,0.005271025,0.04716275,3.776285299,-3.776285299
;Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,750,350,7.9,7.83503,-0.23684,2468.31,2326.21,8,15.74,34.63,330,4,0.3498,0.1101,,,-0.405465108,0.027853513,0.088093416,1.985392408,-1.985392408
;Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,550,150,8.1,7.95086,-0.12101,2448.17,2215.27,0,15.92,34.84,330,4,-0.1522,-0.0226,,,0.959593352,0.043413577,0.022650055,4.145685263,-4.145685263
Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,750,350,7.9,7.83503,-0.23684,2468.31,2326.21,195,15.74,34.63,330,4,1.1498,0.0745,,,0.707336785,0.001902144,0.057644861,-10.11365089,10.11365089
Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,550,150,8.1,7.95086,-0.12101,2448.17,2215.27,195,15.92,34.84,330,4,0.9036,0.0291,,,0.466380277,0.001111865,0.031164242,-10.80725777,10.80725777
Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,750,350,7.9,7.83503,-0.23684,2468.31,2326.21,450,15.74,34.63,330,4,1.4543,0.0324,,,0.433744045,0.000879242,0.043203009,-11.84639705,11.84639705
Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,750,350,7.9,7.83503,-0.23684,2468.31,2326.21,45,15.74,34.63,330,4,1.4121,0.0356,,,0.735457429,0.000362193,0.028634333,-25.67896419,25.67896419
;Sordo et al,59,2018,Phymatolithon lusitanicum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Portugal,Atlantic,Warm temperate,Adult,750,350,7.9,7.83503,-0.23684,2468.31,2326.21,0,15.74,34.63,330,4,-0.0907,-0.0324,,,0.441955264,0.069803164,0.027973648,1.158232907,-1.158232907
Vasquez-Elizondo and Enriquez ,60,2016,Amphiroa tribulus,Lithophylloideae,Lithophyllaceae,Corallinales,"Mexico, Caribbean",Atlantic,Tropical,Adult,905.48,419.97,7.74,7.74,-0.23,,,600,30,,13,4,0.07,0.01,,,-1.455287233,0.006213152,0.015811388,14.54647724,-14.54647724
";""Vasquez-Elizondo and Enriquez ",60,2016,Amphiroa tribulus,Lithophylloideae,Lithophyllaceae,Corallinales," Caribbean""""",Atlantic,Tropical,Adult,889.85,481.25,7.75,7.75,-0.28,,,600,32,,13,4,-0.24,0.01,,,-0.040821995,0.000834028,0.01,-1,1
";""Vasquez-Elizondo and Enriquez ",60,2016,Lithothamnion sp.,Lithothamnioideae,Lithothamniaceae,Hapalidiales," Caribbean""""",Atlantic,Tropical,Adult,905.48,419.97,7.74,7.74,-0.23,,,50,30,,13,4,0.07,0.01,,,-0.693147181,0.006377551,0.01,7,-7
";""Vasquez-Elizondo and Enriquez ",60,2016,Lithothamnion sp.,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Mexico,Atlantic,Tropical,Adult,889.85,481.25,7.75,7.75,-0.28,,,50,32,,13,6,-0.05,0.01,,,#NUM!,0.256666667,0.01,6,-6
";""Vasquez-Elizondo and Enriquez ",60,2016,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales," Caribbean""""",Atlantic,Tropical,Adult,905.48,419.97,7.74,7.74,-0.23,,,600,30,,13,4,0.3,0.08,,,-0.641853886,0.020547861,0.070710678,3.818376618,-3.818376618
";""Vasquez-Elizondo and Enriquez ",60,2016,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales," Caribbean""""",Atlantic,Tropical,Adult,889.85,481.25,7.75,7.75,-0.28,,,600,32,,13,4,-0.03,0.04,,,#NUM!,0.445069444,0.029154759,7.888934917,-7.888934917
";""Qui-Minet",63,2019,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales," France""""",Atlantic,Cool Temperate,Adult,1187,737,7.67,7.67,-0.33,2414,2323,30,20.7,35,122,3,0.42055027,0.02327292,,,-0.252227333,0.015553501,0.081582645,1.478881443,-1.478881443
";""Qui-Minet",63,2019,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales,Brittany,Atlantic,Cool Temperate,Adult,1187,737,7.67,7.67,-0.33,2414,2323,30,20.7,35,122,3,0.12297991,0.03447108,,,0.454628185,1.178105987,0.105455735,-0.426022727,0.426022727
";""Qui-Minet",63,2019,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales," France""""",Atlantic,Cool Temperate,Adult,965,547,7.71,7.71,-0.33,2372,2298,30,12.7,35,119,3,-0.277197,0.09172538,,,0.877764469,1.484404746,0.181787133,0.890949198,-0.890949198
";""Qui-Minet",63,2019,Lithophyllum incrustans,Lithophylloideae,Lithophyllaceae,Corallinales,Brittany,Atlantic,Cool Temperate,Adult,965,547,7.71,7.71,-0.33,2372,2298,30,12.7,35,119,3,-0.0641792,0.1693825,,,#NUM!,2.349890659,0.159132302,3.611600684,-3.611600684
";""Qui-Minet",63,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,1187,737,7.67,7.67,-0.33,2414,2323,30,20.7,35,122,3,0.57810407,0.07593438,,,-0.345752587,0.013366533,0.102498376,2.32967204,-2.32967204
";""Qui-Minet",63,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,965,547,7.71,7.71,-0.33,2372,2298,30,12.7,35,119,3,-0.2559763,0.06951382,,,#NUM!,0.041816105,0.065439123,8.01752862,-8.01752862
";""Qui-Minet",63,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,1187,737,7.67,7.67,-0.33,2414,2323,30,20.7,35,122,3,0.07029469,0.03735277,,,-1.270038763,0.111317313,0.048104356,3.742364602,-3.742364602
";""Qui-Minet",63,2019,Lithothamnion corallioides,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,965,547,7.71,7.71,-0.33,2372,2298,30,12.7,35,119,3,0.17389567,0.13933112,,,-1.099358588,0.235115141,0.135435234,2.57082895,-2.57082895
";""Qui-Minet",63,2019,Phymatolithon calcareum,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,1187,737,7.67,7.67,-0.33,2414,2323,30,20.7,35,122,3,0.30775073,0.05865275,,,0.371261177,0.030614168,0.054509796,-1.750963444,1.750963444
";""Qui-Minet",63,2019,Phymatolithon calcareum,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,965,547,7.71,7.71,-0.33,2372,2298,30,12.7,35,119,3,-0.3103609,0.10058573,,,#NUM!,0.041873193,0.071829026,5.697701934,-5.697701934
";""Qui-Minet",63,2019,Phymatolithon calcareum,Lithothamnioideae,Lithothamniaceae,Hapalidiales," France""""",Atlantic,Cool Temperate,Adult,965,547,7.71,7.71,-0.33,2372,2298,30,12.7,35,119,3,-0.2296607,0.04135865,,,#NUM!,0.063735198,0.084651466,6.043636604,-6.043636604
";""Qui-Minet",63,2019,Phymatolithon calcareum,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Brittany,Atlantic,Cool Temperate,Adult,1187,737,7.67,7.67,-0.33,2414,2323,30,20.7,35,122,3,0.00732239,0.03408414,,,-1.89004025,7.46785058,0.03802781,1.082080714,-1.082080714
";""Barner",64,2018,Bossiella orbigniana,Corallinoideae,Corallinaceae,Corallinales,Oregon,Pacific,Cool Temperate,Adult,2902,2499,7.43075,7.43075,-0.57075,2169.6225,2169.4125,352,10.61,31,1.5,4,-0.0007075,0.001904107,,,#NUM!,2.359144706,0.0048533,1.063194086,-1.063194086
";""Barner",64,2018,Bossiella orbigniana,Corallinoideae,Corallinaceae,Corallinales,Oregon,Pacific,Cool Temperate,Adult,1557,1154,7.5835,7.5835,-0.418,2168.8725,2126.27,352,10.61,31,1.5,4,0.0004625,0.004637696,,,-2.264574458,25.68578993,0.005700511,0.699937285,-0.699937285
";""Barner",64,2018,Bossiella orbigniana,Corallinoideae,Corallinaceae,Corallinales,Oregon,Pacific,Cool Temperate,Adult,2898,2495,7.42575,7.42575,-0.57575,2168.155,2166.635,352,10.61,31,1.5,4,-0.0002375,0.0045079,,,#NUM!,90.61444127,0.005648211,0.830351362,-0.830351362
";""Barner",64,2018,Bossiella orbigniana,Corallinoideae,Corallinaceae,Corallinales," USA""""",Pacific,Cool Temperate,Adult,540,137,7.90075,7.90075,-0.10075,2170.0975,2013.5025,352,10.61,31,1.5,4,-0.000095,0.008197746,,,#NUM!,1862.128388,0.007439303,0.611280379,-0.611280379
