modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
maybe Ordo?ez?;Orondez ,42,2014,Hydrolithon boreale,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,56.25,112.5,-2.320032007,1.100745888,315.8073441,1.634382511,-1.634382511
maybe Ordo?ez?;Orondez ,42,2014,Neogoniolithon sp.,Neogoniolithoideae,Corallinaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,167.6,49.31835358,-1.610868869,0.104081937,392.3980759,1.71152725,-1.71152725
maybe Ordo?ez?;Orondez ,42,2014,Hydrolithon sp.,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,8.75,17.5,-1.573366521,1.11878664,27.12286858,1.233276632,-1.233276632
maybe Ordo?ez?;Orondez ,42,2014,Pneophyllum sp.,Chamberlainoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,1707.75,167.478108,-1.528364078,0.025253652,2014.792352,3.060389818,-3.060389818
maybe Ordo?ez?;Orondez ,42,2014,Hydrolithon boreale,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,244.2,350.0445686,-0.851850486,0.511692461,379.1925632,0.865523304,-0.865523304
maybe Ordo?ez?;Orondez ,42,2014,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,2108.4,769.5890462,-0.805158835,0.047475234,1206.040961,2.162613115,-2.162613115
maybe Ordo?ez?;Orondez ,42,2014,Sporolithon sp.,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,90.25,111.1946492,-0.780620132,0.421548333,99.80606194,1.069574312,-1.069574312
maybe Ordo?ez?;Orondez ,42,2014,Unknown,,,,Australia,Pacific,Tropical,Juvenile,1267,878,7.6,7.6,-0.44,2290,,143,27.1,35,75,4,1996.5,1158.627205,-0.652825937,0.122717225,1481.282736,1.241289023,-1.241289023
maybe Ordo?ez?;Orondez ,42,2014,Pneophyllum sp.,Chamberlainoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,4801.6,1075.804954,-0.494591596,0.032889049,2029.808981,1.513541436,-1.513541436
maybe Ordo?ez?;Orondez ,42,2014,Sporolithon sp.,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,138.2,64.46471903,-0.354501817,0.085563863,78.4687836,0.74934257,-0.74934257
maybe Ordo?ez?;Orondez ,42,2014,Unknown,,,,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,3258.8,2861.695511,-0.162862555,0.192749097,2347.587687,0.245528635,-0.245528635
maybe Ordo?ez?;Orondez ,42,2014,Hydrolithon sp.,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,753,364,7.81,7.81,-0.23,2291,,143,27.1,35,75,5,61,42.14854683,0.368453643,0.214271725,37.64438869,-0.499410421,0.499410421
;Ordonez et al,43,2019,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1027,,,7.7,-0.3,2347,,160,26,35?,10,6,5.936507937,1.106221174,-0.215628755,0.014247033,1.410160838,1.013055667,-1.013055667
;Page & Diaz-Pulido,50,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Juvenile,1040,596,,7.7,-0.3,2372,2200,30,29,36,77,11,0.615244895,0.118395303,-0.434378958,0.003786755,0.095364788,3.509635065,-3.509635065
